New_Commits,New_Issue,ComS,OrgS,SupS,TypS,ID,Pno
49,8,0.193205945,0.01910828,0.704883227,0.082802548,30,12
90,6,0.191304348,0.046956522,0.606956522,0.154782609,31,12
121,11,0.218181818,0.031404959,0.578512397,0.171900826,32,12
69,17,0.202546296,0.028935185,0.684027778,0.084490741,33,12
143,12,0.190207156,0.027306968,0.661016949,0.121468927,34,12
53,5,0.22605364,0.030651341,0.66091954,0.082375479,35,12
31,3,0.1953125,0.02734375,0.69140625,0.0859375,36,12
3,2,0.142857143,0.142857143,0.285714286,0.428571429,1,14
21,7,0.050847458,0.016949153,0.576271186,0.355932203,2,14
13,4,0.060606061,0,0.545454545,0.393939394,3,14
0,0,0.125,0,0.875,0,4,14
8,5,0.03125,0,0.71875,0.25,5,14
18,4,0.020408163,0.040816327,0.632653061,0.306122449,6,14
1,0,0.4,0,0.5,0.1,7,14
41,10,0.04,0.013333333,0.7,0.246666667,8,14
52,9,0.112676056,0.042253521,0.600938967,0.244131455,9,14
17,6,0.081632653,0.030612245,0.704081633,0.183673469,10,14
46,16,0.094527363,0.004975124,0.661691542,0.23880597,11,14
29,6,0.11627907,0.023255814,0.534883721,0.325581395,12,14
62,10,0.046321526,0.016348774,0.776566757,0.160762943,13,14
53,11,0.061776062,0.007722008,0.737451737,0.193050193,14,14
24,13,0.077464789,0.007042254,0.73943662,0.176056338,15,14
24,17,0.082758621,0.013793103,0.75862069,0.144827586,16,14
25,11,0.094017094,0.017094017,0.692307692,0.196581197,17,14
45,13,0.030434783,0,0.773913043,0.195652174,18,14
36,15,0.06122449,0.004081633,0.795918367,0.13877551,19,14
53,17,0.098305085,0.003389831,0.725423729,0.172881356,20,14
25,30,0.073732719,0,0.824884793,0.101382488,21,14
63,15,0.159090909,0.006493506,0.642857143,0.191558442,22,14
62,19,0.146179402,0.003322259,0.684385382,0.166112957,23,14
37,15,0.143459916,0.004219409,0.696202532,0.156118143,24,14
58,22,0.139423077,0.004807692,0.742788462,0.112980769,25,14
94,26,0.132780083,0.002074689,0.676348548,0.18879668,26,14
48,28,0.139479905,0.002364066,0.763593381,0.094562648,27,14
21,9,0.209205021,0.0041841,0.748953975,0.037656904,28,14
106,18,0.237037037,0.002469136,0.535802469,0.224691358,29,14
84,14,0.112211221,0.01320132,0.630363036,0.244224422,30,14
73,19,0.084586466,0.015037594,0.77443609,0.12593985,31,14
76,16,0.125401929,0.022508039,0.643086817,0.209003215,32,14
71,19,0.118451025,0.018223235,0.731207289,0.132118451,33,14
42,22,0.207317073,0.004065041,0.658536585,0.130081301,34,14
